! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
-1.00000000000000e+01  6.88116006653527e-05  3.49992823647383e-01 -1.01289353428714e-04
-9.39393939393939e+00  7.07237663471055e-05  3.49992815442168e-01 -1.01276707918017e-04
-8.78787878787879e+00  7.38580907655856e-05  3.49992819427271e-01 -1.01494750103100e-04
-8.18181818181818e+00  7.82739532497832e-05  3.49992850591852e-01 -1.01844651491080e-04
-7.57575757575758e+00  8.19672895187471e-05  3.49992891923250e-01 -1.02097379944998e-04
-6.96969696969697e+00  8.55767121469269e-05  3.49992919494177e-01 -1.02354491410823e-04
-6.36363636363636e+00  8.94675700468060e-05  3.49992951069683e-01 -1.02645034404394e-04
-5.75757575757576e+00  9.29936968965986e-05  3.49992999356441e-01 -1.02854304294698e-04
-5.15151515151515e+00  9.66767589213255e-05  3.49993019789932e-01 -1.03169582087935e-04
-4.54545454545454e+00  9.99998938423993e-05  3.49993051610871e-01 -1.03400112302213e-04
-3.93939393939394e+00  9.99999726713854e-05  3.49993090518723e-01 -1.03538708668015e-04
-3.33333333333333e+00  1.02104563831917e-04  3.49993101022381e-01 -1.03617063217622e-04
-2.72727272727273e+00  1.07252898597504e-04  3.49993130972691e-01 -1.03580865911987e-04
-2.12121212121212e+00  1.09173300118226e-04  3.49993160922999e-01 -1.03563259781107e-04
-1.51515151515152e+00  1.10872232017382e-04  3.49993165652132e-01 -1.03548067592854e-04
-9.09090909090912e-01  1.12485357262299e-04  3.49993187872749e-01 -1.03516241153121e-04
-3.03030303030302e-01  1.14011692232017e-04  3.49993192852192e-01 -1.03480683172430e-04
 3.03030303030302e-01  1.15905676322437e-04  3.49993206102242e-01 -1.03465793429122e-04
 9.09090909090912e-01  1.18066581947865e-04  3.49993215127413e-01 -1.03461219529576e-04
 1.51515151515152e+00  1.20355930433138e-04  3.49993222322884e-01 -1.03474338111080e-04
 2.12121212121212e+00  1.22529939662743e-04  3.49993226895244e-01 -1.03494457595954e-04
 2.72727272727273e+00  1.24795528884072e-04  3.49993234108963e-01 -1.03500115833907e-04
 3.33333333333333e+00  1.27035509377153e-04  3.49993246985179e-01 -1.03529290403614e-04
 3.93939393939394e+00  1.29287278088922e-04  3.49993242976982e-01 -1.03544413173783e-04
 4.54545454545455e+00  1.31551829634521e-04  3.49993250264807e-01 -1.03582362774309e-04
 5.15151515151515e+00  1.33828796445093e-04  3.49993257728593e-01 -1.03599894782101e-04
 5.75757575757576e+00  1.36105903623864e-04  3.49993250170113e-01 -1.03626057241469e-04
 6.36363636363637e+00  1.38377857364622e-04  3.49993260950705e-01 -1.03648751923345e-04
 6.96969696969697e+00  1.40673659393624e-04  3.49993258116397e-01 -1.03663929056793e-04
 7.57575757575757e+00  1.43076720352929e-04  3.49993250486975e-01 -1.03701967147611e-04
 8.18181818181818e+00  1.45302176062644e-04  3.49993251962386e-01 -1.03697090030105e-04
 8.78787878787879e+00  1.47738464734131e-04  3.49993238001863e-01 -1.03717395462167e-04
 9.39393939393939e+00  1.49824564965907e-04  3.49993220373877e-01 -1.03706930869463e-04
 1.00000000000000e+01  1.51234772475611e-04  3.49993198602953e-01 -1.03636093565864e-04
 1.06060606060606e+01  1.53193160665262e-04  3.49993139437758e-01 -1.03579511869083e-04
 1.12121212121212e+01  1.53963534799247e-04  3.49993064628866e-01 -1.03259421066974e-04
 1.18181818181818e+01  1.54779147335461e-04  3.49992980979586e-01 -1.02884894639075e-04
 1.24242424242424e+01  1.56486370071492e-04  3.49992841913354e-01 -1.02575261854567e-04
 1.30303030303030e+01  1.58933107586705e-04  3.49992677237424e-01 -1.02384741367951e-04
 1.36363636363636e+01  1.62308609336779e-04  3.49992457428419e-01 -1.02322109043607e-04
 1.42424242424242e+01  1.64578951696220e-04  3.49992339939178e-01 -1.02214854196613e-04
 1.48484848484848e+01  1.66715430801712e-04  3.49992235379165e-01 -1.02121653583306e-04
 1.54545454545455e+01  1.68826942136130e-04  3.49992154001000e-01 -1.02057327769653e-04
 1.60606060606061e+01  1.70178103705843e-04  3.49992151963429e-01 -1.01983472981517e-04
 1.66666666666667e+01  1.72245978345476e-04  3.49992110521683e-01 -1.01910122705623e-04
 1.72727272727273e+01  1.74592610036883e-04  3.49992053110435e-01 -1.01881045069278e-04
 1.78787878787879e+01  1.74965330710541e-04  3.49992194819120e-01 -1.01853760779406e-04
 1.84848484848485e+01  1.75219150317929e-04  3.49992284452806e-01 -1.01738853071538e-04
 1.90909090909091e+01  1.76104395755217e-04  3.49992311273349e-01 -1.01647022971590e-04
 1.96969696969697e+01  1.76718220580213e-04  3.49992375356329e-01 -1.01597836993690e-04
 2.03030303030303e+01  1.76340335717035e-04  3.49992501260540e-01 -1.01605796124511e-04
 2.09090909090909e+01  1.75179962186328e-04  3.49992655702293e-01 -1.01604559182508e-04
 2.15151515151515e+01  1.74486032911758e-04  3.49992765294010e-01 -1.01649701391145e-04
 2.21212121212121e+01  1.74477786713978e-04  3.49992802523344e-01 -1.01747889763032e-04
 2.27272727272727e+01  1.74933383332437e-04  3.49992783538517e-01 -1.01891968752047e-04
 2.33333333333333e+01  1.75516911857722e-04  3.49992755561634e-01 -1.02052800337255e-04
 2.39393939393939e+01  1.76117514413206e-04  3.49992721359420e-01 -1.02261768133080e-04
 2.45454545454545e+01  1.75008509831501e-04  3.49992853071432e-01 -1.02529592862307e-04
 2.51515151515151e+01  1.72902368559269e-04  3.49993205348663e-01 -1.02917900088474e-04
 2.57575757575758e+01  1.70528342823745e-04  3.49993632923178e-01 -1.03354166268450e-04
 2.63636363636364e+01  1.68128959161185e-04  3.49994075903070e-01 -1.03790698800568e-04
 2.69696969696970e+01  1.65746288943919e-04  3.49994508513317e-01 -1.04227408360808e-04
 2.75757575757576e+01  1.63374488870716e-04  3.49994936965530e-01 -1.04660020795951e-04
 2.81818181818182e+01  1.60987302700089e-04  3.49995364428597e-01 -1.05093383366573e-04
 2.87878787878788e+01  1.58551528528478e-04  3.49995789343631e-01 -1.05541650789599e-04
 2.93939393939394e+01  1.56090378827939e-04  3.49996229677305e-01 -1.05998796364161e-04
 3.00000000000000e+01  1.54241699274235e-04  3.49996781316634e-01 -1.06200144619980e-04
 3.30000000000000e+01  1.47987104326806e-04  3.50000000007699e-01 -1.06731481013236e-04
 3.60000000000000e+01  1.45305542354521e-04  3.50001890131902e-01 -1.07263348386598e-04
 3.90000000000000e+01  1.41881898972022e-04  3.50004050445471e-01 -1.07815894714467e-04
 4.20000000000000e+01  1.39441071968532e-04  3.50006491156261e-01 -1.08127211476524e-04
 4.50000000000000e+01  1.37257998480435e-04  3.50008998205631e-01 -1.08427564439101e-04
 4.80000000000000e+01  1.34941084766468e-04  3.50011494704583e-01 -1.08720743198189e-04
 5.10000000000000e+01  1.32551947342161e-04  3.50013988218614e-01 -1.09060619378374e-04
 5.40000000000000e+01  1.30097758393389e-04  3.50016444034876e-01 -1.09395517017906e-04
 5.70000000000000e+01  1.27691500433364e-04  3.50019012193433e-01 -1.09745089976875e-04
 6.00000000000000e+01  1.25396278624613e-04  3.50021832753220e-01 -1.10094050532149e-04
 6.30000000000000e+01  1.22765971799197e-04  3.50023738903567e-01 -1.10498132186585e-04
 6.60000000000000e+01  1.20207961597504e-04  3.50025883822593e-01 -1.10901542844135e-04
 6.90000000000000e+01  1.17726461033764e-04  3.50028334158516e-01 -1.11304953526865e-04
 7.20000000000000e+01  1.15180265527827e-04  3.50030034412492e-01 -1.11734091892153e-04
 7.50000000000000e+01  1.12583556556493e-04  3.50031472891209e-01 -1.12170860784359e-04
 7.80000000000000e+01  1.09984042630041e-04  3.50033261328918e-01 -1.12614706168242e-04
 8.10000000000000e+01  1.07465275859856e-04  3.50034821611351e-01 -1.13049709797674e-04
 8.40000000000000e+01  1.05102130635501e-04  3.50035379414690e-01 -1.13444905113265e-04
 8.70000000000000e+01  1.02619454335093e-04  3.50036338494801e-01 -1.13851866274875e-04
 9.00000000000000e+01  9.99962065422050e-05  3.50037703820502e-01 -1.14258827478193e-04
 9.30000000000000e+01  9.81604783324287e-05  3.50036338639419e-01 -1.14316913552528e-04
 9.60000000000000e+01  9.64233051171546e-05  3.50035379459493e-01 -1.14374956121658e-04
 9.90000000000000e+01  9.47698036266927e-05  3.50034821556323e-01 -1.14466579914176e-04
 1.02000000000000e+02  9.30066651697670e-05  3.50033261127597e-01 -1.14409045216611e-04
 1.05000000000000e+02  9.11866736226846e-05  3.50031472689910e-01 -1.14308528894262e-04
 1.08000000000000e+02  8.93686455040073e-05  3.50030034211198e-01 -1.14231833714102e-04
 1.11000000000000e+02  8.75873014758999e-05  3.50028333976257e-01 -1.14122920296746e-04
 1.14000000000000e+02  8.58538727867165e-05  3.50025883971005e-01 -1.13997582285777e-04
 1.17000000000000e+02  8.40668872813099e-05  3.50023739382584e-01 -1.13872244293169e-04
 1.20000000000000e+02  8.22292804450019e-05  3.50021833616524e-01 -1.13717785444254e-04
 1.23000000000000e+02  8.06183297978706e-05  3.50019012767813e-01 -1.13690887005129e-04
 1.26000000000000e+02  7.89296804236412e-05  3.50016444212797e-01 -1.13637532436843e-04
 1.29000000000000e+02  7.72074793802327e-05  3.50013988000102e-01 -1.13485126906942e-04
 1.32000000000000e+02  7.54669462644207e-05  3.50011387393220e-01 -1.13710749448038e-04
 1.35000000000000e+02  7.37347649697809e-05  3.50008734554717e-01 -1.13929974917863e-04
 1.38000000000000e+02  7.20937181276464e-05  3.50006069122226e-01 -1.14149200396695e-04
 1.41000000000000e+02  7.01895666355770e-05  3.50003516804110e-01 -1.14841047821109e-04
 1.44000000000000e+02  6.76626029749092e-05  3.50001218636936e-01 -1.16598759471780e-04
 1.47000000000000e+02  6.56495219968703e-05  3.50000000001663e-01 -1.18326293000778e-04
 1.50000000000000e+02  5.65952405918446e-05  3.49996087686587e-01 -1.20265817588824e-04
 1.53000000000000e+02  5.30122349324744e-05  3.49994451065267e-01 -1.23161236682122e-04
 1.56000000000000e+02  4.94292292730902e-05  3.49992524561635e-01 -1.26268687584669e-04
 1.59000000000000e+02  4.58462236137547e-05  3.49990292687078e-01 -1.29376138487236e-04
 1.62000000000000e+02  5.01867958091484e-05  3.49990428200251e-01 -1.26218866816935e-04
 1.65000000000000e+02  5.84902455151859e-05  3.49991518311294e-01 -1.19928659514990e-04
 1.68000000000000e+02  6.67936952213344e-05  3.49991544919100e-01 -1.13638285501127e-04
 1.71000000000000e+02  7.51126145056291e-05  3.49991126500118e-01 -1.08485163856764e-04
 1.74000000000000e+02  8.34624736686662e-05  3.49991459408608e-01 -1.05606270109869e-04
 1.77000000000000e+02  9.18123329153031e-05  3.49991665503880e-01 -1.02727376245267e-04
 1.80000000000000e+02  9.99956900108589e-05  3.49991742771221e-01 -9.99956900108589e-05
